trend_name,description
Craftcore,"Handcrafted aesthetics with crochet, quilting, and embroidery "
Barbiecore,Candy-pink outfits and surreal accessories inspired by Barbie media 
Bubble Hem Skirts,Voluminous bubble hems making a statement in skirts and dresses 
Furry Textures,Faux-fur trims and coats used for cozy expression 
Frazzled Fabulous,Deliberately disheveled layering mixing textures confidently 
Tonal Tailoring,Head-to-toe tailoring in single-tone palettes for refined styling 
Pastel Pop,"Sweet pastel colors applied to outerwear, bags, and heels "
Sculptural Silhouettes,Artistic tailoring and volume in 3D garment structure
Denim Redux,Deconstructed denim patched into updated silhouettes and jackets 
Oceanic Blues,"Palette inspired by marine life: teal, aqua, seafoam, navy "
Neo‑Punk,"Punk aesthetics modernized with studs, DIY, and aggressive prints "
Layered Sportswear,"Track pieces, shorts, and base layers styled with polish "
Brocade & Baroque,Embroidered opulence and regal prints in 2025 high-season styling
Festival Futurism,Reflective ravewear inspired by Burning Man and festival culture 
Desert Neutrals,Earthy linen and suede in sun-washed pastel shades 
Checkerboard Cool,Graphic black-and-white checks on apparel and accessories 
Scandi Simplicity,Minimalist tailoring in soft hues and crisp lines 
Health Goth,Gothic aesthetics merged with minimalist sportswear silhouettes 
Goblincore,"Nature-inspired thrifted aesthetic celebrating mud, moss, and mushrooms "
Hannah Montana‑core,Nostalgic blend of Y2K sparkles and farm-chic layering
Coastal Granny,"Pastels, linen, and relaxed classics handcrafted into beach polish "
Pirate Boots Revival,"18th‑century inspired high‑shaft boots with buckles and slouchy shapes, reimagined for modern wear"
Butter Yellow,Soft creamy yellow tones used as a warm neutral in linen and silk staples 
Mocha Mousse,Deep chocolate-brown hue dominating Fall 2025 collections as the Pantone of the season
Powder Pink,Cool pastel pinks used in flowy dresses and separates on Spring runways 
Tangerine Pop,Bright citrus tones acting as playful accent colors in bold styling 
Icy Blue,Soft icy-toned blues featured in ethereal suiting and outerwear 
Lilac Shades,"Muted lavender hues across knits and accessories, balancing pastel trends "
Sea La Vie,Mermaid-core aesthetic with sequins and ocean-inspired accents 
Slice of Life Style,"Real-life dressing with practical, office-ready staples for everyday elegance "
Boho 2.0,Elevated bohemian silhouettes with vintage influences and polish 
Meaningful Minimalism,Carefully edited wardrobes with understated functionality and personal touches 
Power Rewired,"A blend of grunge, rock, and vintage luxury that embraces rebellion and attitude "
Good Bad Taste,"Bold, eclectic fashion that mixes kitsch and creativity on purpose "
Let's Move!,"Versatile athleisure-inspired pieces designed for active, community-focused lifestyles "
Childlike Comfort,"Nostalgic, whimsical clothing emphasizing softness and ease of movement "
Town & Country Chic,"English countryside styling with plaid, equestrian pieces, and riding boots "
Vintage Lace Revival,"Romantic lace detailing in modern silhouettes, balancing nostalgia and elegance "
Grape Purple,"Vibrant deep purple seen in statement coats, boots, and bold outerwear "
Boho Furs,Faux-fur outerwear styled with boho textures and vintage shapes for Fall ’25
Next‑Gen Sequins,Oversized paillettes and reflective textures in luxe evening silhouettes 
Shrunk Blazers,"Fitted, cropped blazers with nipped waists for a modern tailored look "
Narrow Sneakers,Retro-inspired slim sneakers complementing tailored and casual outfits 
Peplum Tops,Flared waist tops merging dressy and casual in knit or satin fabrics 
Drop-Waist Dresses,Early-20th-century silhouette revived in fluid midi and maxi dress styles
The Nightie Dress,Slip-style mini dresses that blend lingerie-inspired chic with minimal styling 
Scarf Styling,"Hair, neck, and belt scarf usage layering texture and color in simple outfits "
Teen Spirit Plaid,"Youthful plaid patterns styled in skirts, shirts, and accessories for Spring "
Utility Scout Gear,Functional olive-tone utility pieces like jackets and pants for street style 
Pleated Everything,Pleated skirts and trousers making the fabric texture the star of the look 
Tank Top U‑Turns,Sleeveless layering staples reimagined for transition between seasons 
Hot Pants,Retro-inspired shorts popularized via festival styling and mini dresses 
Aquatic Influences,"Sea-themed prints, scales, and marine tones in dresses and knitwear "
Feminine Polo Shirts,Knit polos with soft collars and elevated fabric details for subtle sportiness 
Thong Sandals,Minimalist sandals gaining traction for versatility in warm-weather looks 
Strapless Dresses,"Structured, bare-shoulder dresses dominating eveningwear and red-carpet looks "
Asymmetry Details,"Off-center hemlines, one-shoulder designs, and draped shapes for visual interest "
Corsets Over Shirts,Layering corsets atop shirts or tees for a modern fashion statement 
Moto Waistcoats,Oversized moto-style vests and waistcoats as core layering pieces 
Red Sandals,Bright scarlet sandals as bold accessories in Summer ’25 wardrobes
Crochet Co‑ords,"Matching sets made in crochet, reimagining vintage handcraft in modern cuts "
Broderie Anglaise Tops,"Intricate lacework in blouses and dresses offering light, breezy decoration "
Barrel and Flare Jeans,Retro wide-leg denim silhouettes returning with high-waist and loss fit 
Fisherman Aesthetic,Coastal inspired looks with cable knit sweaters and rain-ready layers 
Sea Witchery,Mysterious oceanic fantasy styling with wet textures and dark tones 
Cherry Coded,Cherry-red fashion palettes paired with playful makeup accents 
Aura Beauty Fashion,Mood-based monochromatic outfit curation inspired by personal color aura 
Goddess Complex Style,"Ethereal styling using braid crowns, gold tones, and goddess-like draping "
Moto Boho,A mashup of moto edge and bohemian textures—for effortless statement wear 
Grandpa-Core,"Vintage knitwear, sweater vests, and retro menswear nods made cozy (also called eclectic grandpa) "
Weirdcore Aesthetic,"Surreal, early internet nostalgia translated into prints and dreamy styling "
Kidcore Revival,Joyful primary-color fashion nodding to 90s and early 2000s childhood motifs
Cyberpunk Tailoring,Structured black suiting with cyberpunk embellishments and tech-inspired lines 
Reconstructed Clothing,"Upcycled garments remade into new pieces, favored in sustainable fashion lines "
Headscarf Chic,"Vintage silk scarves used as hair, neck, or accessory pieces for a refined retro polish "
Slouch Meets Structure,Relaxed boots and bags styled with structured tailoring for a relaxed yet polished silhouette 
Vintage Lace Revival,Romantic lace styling resurging in mid skirts and blouses for nostalgic elegance 
Grape Purple,"Bold violet shades dominating coats, boots, and dresses in Fall 2025 collections"
Slouchy Bags,Oversized soft suede or leather bags offering a lived-in urban feel 
Nylon Waterproof Styling,Shiny and practical waterproof fabrics used in outerwear for urban-chic utility
Pleated Texture,Pleated skirts and trousers creating dynamic movement and visual interest
Scarf-as-Belt Styling,"Bright silky scarves used as belts, accessories, and statement layers "
Sporty Bottom Trends,"Fashion-forward athletic bottoms — runner shorts, skorts seen beyond gym styling"
Tea-Length Denim Skirts,Long denim maxi skirts styled casually with tank tops or loafers
Cord Necklace Accessory,90s-style leather or suede cord necklaces with shells or minimalist pendants
Pirate Boots Revival,High-shaft boots with buckles and slouches reimagined in luxury fabrics 
Corsets Over Shirts,Layered corsets worn atop shirts or tees for a bold transitional style 
Power Rewired,Punk-infused luxury combines attitude with tailoring and vintage rock edits
Powder Pink Palette,"Muted pastel pinks applied liberally to dresses, suits, and accessories "
Mocha Mousse Shades,Rich chocolate-brown tones dominating outerwear and accessories in Fall 2025
Tangerine Pop,Bold citrus hues used as playful color accents in styling 
Icy Blue Minimalism,Soft icy blue suiting and knitwear offering ethereal spring transitions 
Fleur-de-Lis Florals,Embroidered floral motifs reminiscent of vintage craftsmanship 
Fisherman Aesthetic,Cable knits and rain-ready styling inspired by coastal fashion heritage 
High-Waist Bubble Hem,Bubble silhouette skirts and shorts revisiting retro 80s volume cuts
Broad Gingham Patterns,"Chunky gingham checks styled across dresses, tops, and accessories "
Hot Pants Resurgence,Retro-cut shorts styled solo or with sheer tights and blazers
Aquatic Wonderland,Sea-inspired palettes & shell detailing across knitwear & dresses 
Feminine Polo Reimagined,Soft-collar knit polos elevated with contrast trims and luxe fabric 
Thong Sandals Revival,Minimalist sandals styled with everything from dresses to jeans 
Strapless Dresses Return,Bare-shoulder maxis in structured fabric dominating eveningwear 
Asymmetrical Tailoring,"Hemlines off-kilter, one-shoulder styles, and draped shapes for intrigue "
Tiny Scarves Everywhere,"Mini scarf accessories tied on wrists, hair, bags, or waists "
Teen Spirit Plaid,Youthful plaid motifs dominate summer shirts and skirts styling 
Scout Utility Core,"Olive utility jackets, vests, and Scout-inspired khaki layering "
U-turn Tank Tops,Sleek layering basics reinterpreted for office-ready ease 
Clean Girl Aesthetic,Minimalist neutral tones with fresh skincare vibes defined the “clean girl” trend of 2025
Eco Reconstructed Styling,Upcycled garments redesigned into new statement pieces for conscious fashion 
Goblincore Expressionism,Nature-core fashion embracing earth tones and botanical textures 
Fairy Grunge Fusion,"Ethereal meets edgy—think floats, jerseys, mesh combined in dreamlike layers "
Coquette Aesthetic,"Feminine, playful aesthetics with bows, pastels, lace inspired by Tumblr and TikTok "
Health Goth,Athletic silhouettes paired with gothic tailoring in monochrome tones 
Nymphet-Core,Pastel-lace styling and heart-shaped accessories recalling early-2000s youthcore
Eclectic Grandpa Core,"Vintage knitwear, sweater vests, tweed caps as styled for quirky elegance "
Moto Boho Styling,Rough leather moto jackets layered with soft bohemian textures for attitude balanced with ease 
Clean Elle UPMIN,Crisp wardrobe basics styled sleekly in neutral tones for everyday polish 
Dopamine Dressing,Vibrant color combinations meant to evoke joy and self-expression in 2025 styling
Italian Garden Party Core,Mediterranean florals and linen silhouettes styled for relaxed sophistication 
Coastal Grandmother Core,"Pastel linen, wovens, and beachy classics reimagined with maturity and comfort "
Bold Red Sandals,Bright scarlet sandals making seasonal statements across styling picks 
Fish-Themed Jewelry,Playful aquatic accessories like anchovy earrings and shell pendants trending locally 
Silver Hues,Metallic silver tones emerged at New York Fashion Week Fall-Winter ’25 in outerwear and suiting
Dresses Over Pants,Layered dress-over-pants styling featured prominently at NYFW as a fresh silhouette
Corp Core,"Business-casual tailoring with an elevated, streetwise finish seen at NYFW"
Electric Purple,Rich purple shades across coats and blazers trending on fall runways 
Mocha Mousse Color,Deep chocolate brown became the Pantone hue of the year for Fall ’25
Flared Denim,Bootcut and flared jeans returned with a 70s revival aesthetic
Polka Dot Prints,Graphic spots in mixed patterns emerged as a bold trend in spring styling 
Minimalist Mastercraft,Clean-lined fashion emphasizing craftsmanship and material quality 
Tank Top U‑Turns,Transitional tank tops reimagined for layered city dressing 
Pleated Everything,"Motion-rich pleats in trousers, skirts, and dresses dominated trends "
Checks and Balances,Tailored checked suiting and chic plaid looks for Spring ’25
Summertime Prep,Preppy separates and shirting blended with vibrant summer palettes 
Bohemian Blouse,Romantic chiffon blouses with twist-necks and flowing silhouettes 
Skants & Skirts,Hybrid skirt-pants designs streamlining mobility and style 
Bubble Hems,Inflated hems on skirts and dresses offering sculptural impact 
Flared Shorts,90s-inspired Bermuda shorts gaining streetwear appeal
Mesh Market Totes,Minimalist mesh bags styled with delicate accessories for summer 
Lace-Trim Dresses,Romantic lace edges bring softness to midi and maxi looks 
Jelly Flats,Designer jelly sandals revived for polished everyday wear 
Flip-Flop Revival,Leather flip-flops elevated beyond beachwear into fashion staples 
Tank Basics,Classic racerback tanks as multi-seasonal minimal wear essentials 
Boat Shoes Revival,Suede boat shoes resurfaced on trending summer footwear charts 
Bermuda Denim Shorts,Tailored denim cutoffs featured as smart summer staples 
Crafted Lace & Embroidery,Artisanal detail and embroidery led tender luxury looks 
Minimalist Draping,Sculptural draped garments featured across runway and street
Wrong-Jacket Theory,Unexpected outerwear layered with formal and casual looks 
Polka-Dot Dressing,Reusable bold polka-dot prints styled in daring combinations 
Personalized Styling,Strong move toward individual-led styling and expression 
Corporate Relaxed Tailoring,Softened corporate wear with loose fabrics & relaxed fit
Butter Yellow,Creamy pastel yellow featured across dresses and knitwear 
Wispy Pink,Soft pinks applied in fluid dresses & understated tailoring 
Moody Plum,Rich plum tones giving fall wardrobes a luxurious edge 
Crisp Blue Cotton,Textured crisp blue colors in cotton shirting and dresses 
Prime Time Sneakers,Adidas Tokyo’s sneakers returned as seasonal highlights 
Mid Rise Bootlegs,Jeans with a mildly flared leg and mid-rise waist for a modern throwback
Western Yokes,Western-cut shirts with embroidery and pearl snap details 
Cowboy Coats,Fringe-accented suede jackets inspired by western music icons 
Duster Coats,Long lightweight coats styled casually over weekend wear 
Stetson Hats,Cowboy hats and brimmed caps revived as street accessories 
Camera Mustard,Mustard tones and vintage camera hardware mixing tech with retro 
Eclectic Grandpa,Colorful grandfather-cardigan styling with quirky knit motifs 
Athlingerie,Lingerie-inspired activewear blending sensuality with fitness fabrics 
Household Travelcore,"Hybrid dressing for travel, comfort, and urban styling essentials "
Tiny Scarves,Miniature neck or wrist scarves serve as muted statement accessory 
Haunted Doll Core,Eerie doll-core style with dark whimsy and gothic nostalgia 
Jorts & Cowboy Boots,Streetwear combining short denim and western footwear 
Cloud Nine Inflated Shapes,Puffy sculptural dresses and jackets inspired by inflatable silhouettes from Spring 2025 runway shows.
Tulle Wraps,Airy and romantic tulle wraps and layered dresses creating dreamy silhouettes.
Soft Filter Romance,"Styling driven by sheer organza, ruffles, and pastel hues for an ethereal feel."
Creature Print Accessories,Animal-shaped bags and creature motifs adding whimsy to statement accessories.
Rave Style Reinterpreted,90s-inspired rave silhouettes with modern sporty layering and oversized cuts.
Tweed for Warm Weather,Light tweed jackets and skirts reimagined for spring and summer styling.
Foulard Dresses,Scarf-print dresses with asymmetrical hems offering elegant fluidity.
Crystal Embellishments,"Fringe and crystal accents used in tops, dresses, and accessories for glam appeal."
Hourglass Sculpting,Structured tailoring with exaggerated waist curves for a sculpted silhouette.
Neon Statement Colors,"Bright neon tones featured across coats, shoes, and accessories."
Corpcore Shoulders,Oversized blazers with structured shoulders rooted in business wear.
Nomadic Spirit,"Boho-inspired layered looks with embroidery, fringe, and artisanal details."
Modern Academia,"Tweed blazers, wool skirts, and structured bookish layering."
Maximalism for Minimalists,Understated silhouettes made bold through material and textural play.
Butter Yellow Revival,"Soft yellow tones seen across ready-to-wear, accessories, and footwear."
Structured Tote Comeback,Oversized geometric totes emerging as high-fashion staples.
Sculptural Belts,Wide or artistic belts redefined as focal styling elements.
Statement Sunglasses,Sculptural and futuristic sunglasses as centerpieces of styling.
The Row’s India Bowling Bag,Structured bowling bag shapes trending in minimal luxury.
Miu Miu Boat Shoes,Preppy suede boat shoes elevated for everyday casual chic.
Adidas Sprinter Shorts,Athletic shorts styled outside the gym in polished urban outfits.
Drop-Waist Dresses,"Loose, vintage-inspired waistlines returning in midi-length silhouettes."
Stretch Tank Tops,Fitted basics worn as elevated layering staples.
Harem Pant Revival,Baggy drop-crotch pants styled for modern comfort.
Resort Sequin Statements,Giant sequins on dresses and tops for vacation-inspired evening wear.
Mod Mini Silhouettes,60s mini skirts and dresses reimagined in bold fabrics.
Leopard-Neutral Outerwear,Animal prints in brown and beige tones styled as closet neutrals.
Fresh Color Blocking,Two- and three-tone color stories making bold separates.
Coastal Prep,Nautical-inspired striped separates in cottons and linens.
Electric Blues,"Vivid shades of blue dominating jackets, heels, and suiting."
Fluid Shapes,Flowy and asymmetric cuts creating graceful movement.
Statement Leather Jackets,Sleek fitted leather jackets as standout pieces.
Fancy Flats,"Designer flats with embellishments, satin, or crystals."
Mod Mini Dresses,High-hemline retro shapes with graphic or monotone finishes.
Serpentine Cutouts,Side and bust cutouts subtly incorporated into dresses and tops.
Long Bermuda Shorts,"Tailored, knee-length shorts styled with oversized tops."
Meaningful Minimalism,Simple but thoughtfully tailored garments with refined textures.
Coquette Pastel Couture,"Feminine styles featuring lace, ribbons, and soft pastel hues."
Retro Americana Yokes,Western shirt detailing making a comeback in casual wear.
Eclectic Grandpa Knits,Chunky vintage cardigans styled with modern ease.
Western Fringe Jackets,Fringe-accented suede jackets returning in boho-modern styling.
Duster Coats,Long lightweight coats worn layered over casual daywear.
Stetson Hat Revival,Cowboy hats repurposed as city-ready headwear.
Floral Embellished Reticules,Drawstring handbags adorned with floral embroidery.
Crystal Caterpillar Detailing,Dangling crystal elements resembling jeweled fringe.
Side-Slit Flamenco Ruffles,Tiered ruffle hems inspired by Latin dancewear.
Pencil Skirt Revival,"Sharpened silhouettes for skirts, styled with knits or blouses."
Strong Preppy Pleats,Pleated skirts and kilts as modern office staples.
Perforated Leather Outerwear,Leather jackets with breathable perforations for spring.
Cutout Tank Minimalism,Tank tops with subtle geometric or side cutouts.
Oversized Windbreakers,Baggy windbreakers styled over summer dresses or trousers.
All-Gingham Styling,Multiple gingham patterns styled across full outfits.
Cold Shoulder Cutouts,Off-shoulder and cold-shoulder styling making a polished return.
Oversized Suede Tote Bags,Soft suede totes sized for carry-all functionality.
Fuchsia Power Separates,Magenta pantsuits and blazers dominating seasonal runways.
Surrealist Accessory Designs,Unconventional jewelry and bags inspired by surrealist art.
Eclectic Pattern Clashes,Mixed prints and textures boldly layered together.
Anti-Algorithm Personal Styling,Fashion rejecting trend conformity in favor of self-expression.
Material Maximalism,"Layered textures including fringe, fur, velvet, and sequin."
Digital Influence Prints,AI-generated glitch art patterns and pixelated textures.
Mirror Metallics,"Reflective silver and chrome surfaces used in boots, bags, and outerwear for a futuristic edge."
Fringe Revival,"Shimmering fringe details on dresses, jackets, and bags evoke movement and drama."
Mesh Layering,Layered mesh tops and dresses for a sheer yet styled look in summer and evening wear.
Y2K Ruching,"Ruching on tops, skirts, and dresses adds retro-futuristic texture and volume."
Utility Corsetry,Corset-inspired tops combined with utility fabrics and buckle closures.
Denim Deconstruction,Distressed and reassembled denim creating unique patchwork aesthetics.
Micro Minis,Ultra-short skirts styled with oversized jackets for a bold contrast.
Sheer Panel Dresses,Translucent sections in longline dresses to add allure while maintaining structure.
Color-Dipped Knitwear,Gradient-dyed knit tops and dresses for a modern boho touch.
Athluxury,Merging technical athleticwear with luxe fabrics like satin and silk.
Metal-Studded Accessories,Bags and belts featuring heavy metal detailing for edge.
Shearling Sandals,Fuzzy slip-ons and sandals for transitional weather luxury.
Lace Bodysuits,Fitted bodysuits made with lace for layering under blazers or sheer tops.
Pillow Coats,Padded quilted jackets shaped like duvets offering warmth and volume.
Cybercore Streetwear,"Neon, mesh, and synthetic fabrics influenced by digital and club aesthetics."
Slashed Sleeves,Sleeves with deliberate tears or slits adding drama to basics.
Color Pop Tights,Bright colored hosiery worn under neutrals for visual contrast.
Quilted Skirts,"Textured, lightly padded skirts as winter alternatives to denim."
Velour Tracksuits,Soft-touch velour sets making a glam comeback from the 2000s.
Satin Trench Coats,Classic trench silhouettes reimagined in glossy satin.
Tech Fabric Shirts,Shirts made from wrinkle-free or sweat-resistant technical fabrics.
Feather Details,"Feathers on cuffs, hems, and collars for whimsical flair."
Caramel Leather,Warm tan and caramel leather used in trench coats and boots.
Glossy Latex,High-shine latex garments used in edgy yet tailored designs.
Tenniscore,"Polo tops, skorts, and varsity-inspired knits influenced by tennis fashion."
Ballet Flats Reboot,Minimalist or square-toe flats trending in high-end collections.
Layered Tank Dresses,Multiple tank layers combined into one elongated silhouette.
Embroidered Denim,"Jeans adorned with stitched floral, graphic, or metallic motifs."
Origami Pleats,"Sharp, geometric pleating techniques drawing from Japanese aesthetics."
Belted Blazers,Tailored jackets cinched at the waist with fabric or leather belts.
Bouclé Blends,"Tweed and bouclé used beyond jackets—in skirts, sets, and bags."
Wide-Leg Overalls,Denim and cotton overalls cut wide at the leg for comfort and edge.
Appliqué Detailing,Decorative patches and sewn-on motifs adding handmade personality.
Cowl Neck Comeback,Draped neckline tops and dresses recalling 90s elegance.
Lingerie as Outerwear,Slip dresses and lace camis styled for daytime wear.
Chained Straps,"Chain-link used as straps for bags, dresses, and sandals."
Fuzzy Bucket Hats,Retro bucket hats made from fuzzy mohair or faux fur.
Foil Prints,Foil-printed metallic graphics catching light on dark fabrics.
Ruffled Collars,Victorian-inspired collars adding romantic drama to blouses.
Transparent Raincoats,Clear or tinted waterproof outerwear styled over fashion-forward looks.
Cropped Suiting,Tailored blazers and trousers cut short for a youthful silhouette.
Layered Necklines,Double or asymmetrical necklines on tanks and tops.
Tonal Checks,Plaid and checkered prints in tonal (single-color family) palettes.
Buttonless Jackets,"Minimalist coats and jackets with clean, button-free finishes."
Harness Accessories,Body harnesses styled over shirts or dresses for fashion-forward utility.
Two-Tone Footwear,Shoes with high-contrast front/back or toe/heel color blocks.
Emo Aesthetic Revival,"Dark color palettes, plaid, and band references resurfacing."
Monk-Strap Loafers,Classic loafers updated with monk-strap buckles and chunky soles.
Denim Maxi Coats,Full-length denim outerwear with frayed seams or embellishments.
Zipper Detailing,"Decorative zippers placed along arms, legs, or waistlines."
3D Floral Appliqué,"Raised flower textures on tops, gowns, and accessories."
Wrap Skorts,Shorts disguised as skirts with asymmetrical wrap styling.
Gradient Faux Fur,Multicolored fur coats or scarves that fade from one hue to another.
Crinkled Satin,Wrinkled or textured satin fabric in eveningwear.
Scuba-Inspired Pieces,Neoprene and bonded fabrics used in sporty tailoring.
Tiny Cardigans,Ultra-cropped knit cardigans worn as statement layering pieces.
Overdyed Denim,"Saturated dyes on denim, creating vibrant or moody hues."
Transparent Heels,Clear heels and lucite platforms seen across runway footwear.
Psychedelic Swirls,"60s-inspired graphic patterns on shirts, suits, and accessories."
Bow Detailing,"Bows on sleeves, backs, and collars for a feminine twist."
Unfinished Hems,"Raw edges and frayed finishes on skirts, pants, and jackets."
Pastel Leather,"Softly colored leather in mint, lavender, and blush tones."
Sleeve Slits,Subtle or dramatic slits in sleeves offering movement and visual intrigue.
Bra Tops,Minimalist bralette-style tops styled with high-waist trousers or blazers.
Denim Corsets,Structured denim corset tops mixing feminine and street styles.
Rugby Stripes,Bold horizontal stripes inspired by athletic rugby uniforms.
PVC Outerwear,Clear or glossy plastic coats styled over bold outfits.
Drawstring Detailing,"Sporty drawstrings used decoratively on sleeves, hems, or waists."
Convertible Clothing,"Garments that transform—pants to shorts, jackets to vests."
Asymmetrical Zippers,Zippers placed diagonally or irregularly for edgy detailing.
Tech Satchels,Utility-inspired crossbodies with pockets and clips.
Patchwork Leather,Multiple leather tones or textures patched together.
